ano,legislatura,anolegislatura,uf,partido,tipo,representatividade,distancia,vagas,eleitores,cota,valor
2022,56,4,AC,PT,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",54,2246,8,547680,44260.60,1781.00
2020,56,2,AC,PCdoB,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",10,2246,8,547680,44260.60,3399.55
2019,56,1,AC,UNIÃO,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,52,2246,8,547680,44260.60,1096.19
2022,56,4,AC,PROS,MANUTENÇÃO DE ESCRITÓRIO,8,2246,8,547680,44260.60,114.00
2020,56,2,AC,MDB,COMBUSTÍVEIS E LUBRIFICANTES,34,2246,8,547680,44260.60,105708.31
2020,56,2,AC,PDT,TELEFONIA,28,2246,8,547680,44260.60,8204.65
2019,56,1,AC,PCdoB,LOCAÇÃO DE AUTOMÓVEIS,10,2246,8,547680,44260.60,78227.00
2022,56,4,AC,UNIÃO,ASSESSORIA TÉCNICA/JURÍDICA,52,2246,8,547680,44260.60,62866.67
2019,56,1,AC,PROS,ASSESSORIA TÉCNICA/JURÍDICA,8,2246,8,547680,44260.60,32320.00
2023,56,5,AC,PCdoB,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",10,2246,8,547680,44260.60,3315.00
2021,56,3,AC,PCdoB,ASSINATURA DE PUBLICAÇÕES,10,2246,8,547680,44260.60,530.00
2023,56,5,AC,UNIÃO,DIVULGAÇÃO MANDATO,52,2246,8,547680,44260.60,15000.00
2023,56,5,AC,PROS,TELEFONIA,8,2246,8,547680,44260.60,534.98
2019,56,1,AC,PCdoB,LOCAÇÃO OU FRETAMENTO DE AERONAVES,10,2246,8,547680,44260.60,42980.00
2022,56,4,AC,PCdoB,SERVIÇOS POSTAIS,10,2246,8,547680,44260.60,223.29
2020,56,2,AC,PT,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",54,2246,8,547680,44260.60,324.97
